15.1649 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
143.7965 	EXP 	fixation: autoDraw = False
143.7965 	EXP 	grating: autoDraw = False
143.7965 	EXP 	fixation: autoDraw = True
143.7968 	EXP 	window1: recordFrameIntervals = False
144.7962 	EXP 	fixation: autoDraw = False
145.7802 	EXP 	grating: autoDraw = True
145.7802 	EXP 	grating: tex = 'sin'
146.0802 	EXP 	grating: autoDraw = False
146.2160 	EXP 	window1: recordFrameIntervals = False
146.2185 	DATA 	Keypress: right
146.2304 	EXP 	fixation: autoDraw = False
146.2304 	EXP 	grating: autoDraw = False
146.2304 	EXP 	fixation: autoDraw = True
146.2306 	EXP 	window1: recordFrameIntervals = False
147.2307 	EXP 	fixation: autoDraw = False
148.2146 	EXP 	grating: autoDraw = True
148.2146 	EXP 	grating: tex = 'sin'
148.5148 	EXP 	grating: autoDraw = False
148.6333 	DATA 	Keypress: left
148.6503 	EXP 	window1: recordFrameIntervals = False
148.6645 	EXP 	fixation: autoDraw = False
148.6645 	EXP 	grating: autoDraw = False
148.6645 	EXP 	fixation: autoDraw = True
148.6648 	EXP 	window1: recordFrameIntervals = False
149.6648 	EXP 	fixation: autoDraw = False
150.6490 	EXP 	grating: autoDraw = True
150.6490 	EXP 	grating: tex = 'sin'
150.9491 	EXP 	grating: autoDraw = False
150.9678 	EXP 	window1: recordFrameIntervals = False
150.9704 	DATA 	Keypress: left
150.9822 	EXP 	fixation: autoDraw = False
150.9822 	EXP 	grating: autoDraw = False
150.9822 	EXP 	fixation: autoDraw = True
150.9824 	EXP 	window1: recordFrameIntervals = False
151.9824 	EXP 	fixation: autoDraw = False
152.9663 	EXP 	grating: autoDraw = True
152.9663 	EXP 	grating: tex = 'sin'
153.2663 	EXP 	grating: autoDraw = False
153.4187 	EXP 	window1: recordFrameIntervals = False
153.4214 	DATA 	Keypress: right
153.4333 	EXP 	fixation: autoDraw = False
153.4333 	EXP 	grating: autoDraw = False
153.4333 	EXP 	fixation: autoDraw = True
153.4336 	EXP 	window1: recordFrameIntervals = False
154.4334 	EXP 	fixation: autoDraw = False
155.4173 	EXP 	grating: autoDraw = True
155.4173 	EXP 	grating: tex = 'sin'
155.7176 	EXP 	grating: autoDraw = False
155.8699 	EXP 	window1: recordFrameIntervals = False
155.8724 	DATA 	Keypress: left
155.8843 	EXP 	fixation: autoDraw = False
155.8843 	EXP 	grating: autoDraw = False
155.8843 	EXP 	fixation: autoDraw = True
155.8845 	EXP 	window1: recordFrameIntervals = False
156.8844 	EXP 	fixation: autoDraw = False
157.8685 	EXP 	grating: autoDraw = True
157.8685 	EXP 	grating: tex = 'sin'
158.1682 	EXP 	grating: autoDraw = False
158.3873 	EXP 	window1: recordFrameIntervals = False
158.3900 	DATA 	Keypress: right
158.4016 	EXP 	fixation: autoDraw = False
158.4016 	EXP 	grating: autoDraw = False
158.4016 	EXP 	fixation: autoDraw = True
158.4019 	EXP 	window1: recordFrameIntervals = False
159.4018 	EXP 	fixation: autoDraw = False
