trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,88,87,up,0.005,db,0.048025290919336515,0.00049409999337513,268.0269079999998,268.0269079999998,268.326859599998,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,89,88,up,0.005,db,0.048025290919336515,0.0007167000003391877,270.5442694999947,270.5442694999947,270.8444987999974,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,90,89,down,0.005,db,0.04799765329510801,0.0005597000126726925,273.01188189999084,273.01188189999084,273.31191239999316,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,91,90,down,0.005,db,0.04799765329510801,0.00035999999090563506,275.4295238999912,275.4295238999912,275.7297363999969,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,92,91,down,0.005,db,0.04799765329510801,0.000360800011549145,277.8641540999961,277.8641540999961,,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,93,92,down,0.005,db,0.04797003157579665,0.00035679999564308673,280.1314917999989,280.1314917999989,280.43121729999257,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,94,93,down,0.005,db,0.04797003157579665,0.000364200008334592,284.83310209999036,284.83310209999036,285.13306989999546,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,95,94,down,0.005,db,0.04797003157579665,0.00036189999082125723,287.2339850999997,287.2339850999997,287.53392509999685,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,96,95,down,0.005,db,0.04794242575224946,0.0003741999971680343,289.68500060000224,289.68500060000224,289.98503729999356,0,0,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,97,96,up,0.005,db,0.04797003157579665,0.00046239999937824905,292.4861979999987,292.4861979999987,292.78586019999057,1,1,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,98,97,up,0.005,db,0.04797003157579665,0.0006901000015204772,294.93685499999265,294.93685499999265,295.2370443999971,0,0,Final MAN,001,2022-09-08_15h59.59.018,Staircase,2022.2.2,59.99674817418772,
